id,歌唱者,作品名,歌手,曲名,パート分け,練習中,要復習,非公開
1777465750807.5076,あきらん,うたごえはミルフィーユ,Parabola,Riskey Business,1,,,
1777465750808.7568,あきらん,ロックは淑女の嗜みでして,Little Glee Monster,夢じゃないならなんなのさ,1,,,
1777465750808.5676,あきらん,男女の友情は成立する?（いや、しないっ!!）,MARUMOCHI from HoneyWorks,質問、恋って何でしょうか ?,1,,,
1777465750808.4482,あきらん,忍者と殺し屋のふたりぐらし,MARUMOCHI from HoneyWorks,にんころダンス,1,,,
1777465750808.423,あきらん,MONO,シネフォト部,メニメリ・メモリーズ,1,,,
1777465750808.1125,あきらん,外れスキル《木の実マスター》 ～スキルの実（食べたら死ぬ）を無限に食べられるようになった件について～,アーリオ・オーリオ・エ・ペペロンチーノ 雪花ラミィ,ブレイブリーダンス,1,,,
1777465750808.8328,あきらん,黒岩メダカに私の可愛いが通じない,いろはにほへっと あやふぶみ,雨トキメキ恋模様,1,,,
1777465918275.5444,つぼはち,Summer Pockets,鈴木このみ,アルカテイル,,,,
1777465918275.8572,つぼはち,Fate/strange Fake,13.3g,潜在的なアイ,,,1,
1777465918275.1702,つぼはち,真夜中ハートチューン,星街すいせい,月に向かって撃て,,,,
1777465918275.5767,つぼはち,花ざかりの君たちへ,YOASOBI,アドレナ,,,,
1777465918275.1384,つぼはち,地獄楽,キタニタツヤ feat. BABYMETAL,かすかなはな,,,,
1777465918275.7769,つぼはち,葬送のフリーレン,,lulu.,,,,
1777465918275.2534,つぼはち,日々は過ぎれど飯うまし,asmi,そんなもんね,,,,
1777465918276.6782,つぼはち,超かぐや姫!,月見ヤチヨ(早見沙織)&かぐや(夏吉ゆうこ),Ex-Otogibanashi,,,,
1777465918276.6433,つぼはち,信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐&『ざまぁ!』します!,丁,閃より雷や、更りや高き,,,,
1777465918276.5427,つぼはち,呪術廻戦,King Gnu,AIZO,,,,
1777465918276.1345,つぼはち,ある日、お姫様になってしまった件について,Daoko,いいよ,,,,
1777465918276.9592,つぼはち,ある日、お姫様になってしまった件について,XAI,その瞳で,,,,
1777465918276.7498,つぼはち,SI-VIS,SI-VIS,スーパーノヴァ,1,,,
1777465918276.9143,つぼはち,29歳独身中堅冒険者の日常,HoneyWorks feat.Hanon,君が灯してくれた光を今,,,,
1777465918276.2737,つぼはち,29歳独身中堅冒険者の日常,HoneyWorks feat.Kotoha,君の隣は空気が美味しい,,1,,
